name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-3385.37,0.185085,8.20776,-3399.84,-3385.1,-3372.45,1966.55,0.0464464,0.999639
"accept_stat__",0.867836,0.00478712,0.175446,0.514374,0.923847,0.997006,1343.2,0.0317239,1.00398
"stepsize__",0.156484,0.010768,0.0131979,0.141645,0.154102,0.173706,1.50225,3.54805e-05,1.17658e+13
"treedepth__",4.33567,0.0339365,1.11976,2,5,5,1088.73,0.0257137,1.005
"n_leapfrog__",25.5668,0.265539,9.09069,5,31,31,1172.03,0.0276812,1.00428
"divergent__",0.350833,0.0107389,0.477271,0,0,1,1975.2,0.0466506,1.00271
"energy__",3451.38,0.248467,11.4871,3432.86,3450.94,3470.95,2137.4,0.0504815,0.999942
"r[1]",1.9,0.0085,0.61,1.0,1.8,3.0,5144,0.12,1.0
"r[2]",1.4,0.0051,0.36,0.90,1.4,2.1,4981,0.12,1.0
"r[3]",0.67,0.0077,0.54,0.13,0.53,1.7,4910,0.12,1.00
"r[4]",1.7,0.0076,0.52,0.91,1.6,2.6,4790,0.11,1.0
"r[5]",0.63,0.0052,0.37,0.18,0.55,1.4,4975,0.12,1.0
"r[6]",0.79,0.0054,0.38,0.30,0.73,1.5,4930,0.12,1.0
"r[7]",0.91,0.0063,0.47,0.31,0.83,1.8,5519,0.13,1.0
"r[8]",0.88,0.0041,0.31,0.45,0.85,1.4,5695,0.13,1.0
"r[9]",1.9,0.0083,0.58,1.1,1.8,2.9,4918,0.12,1.00
"r[10]",0.25,0.0019,0.13,0.081,0.22,0.50,4839,0.11,1.0
"r[11]",0.55,0.0038,0.25,0.22,0.52,1.0,4146,0.098,1.0
"r[12]",0.90,0.0047,0.34,0.43,0.86,1.5,5077,0.12,1.0
"r[13]",1.6,0.012,0.85,0.55,1.5,3.2,5088,0.12,1.0
"r[14]",1.6,0.0051,0.35,1.1,1.6,2.2,4716,0.11,1.00
"r[15]",0.60,0.0036,0.26,0.26,0.57,1.1,4981,0.12,1.00
"r[16]",0.29,0.0021,0.14,0.11,0.27,0.56,4646,0.11,1.0
"r[17]",0.50,0.0048,0.31,0.14,0.43,1.1,4000,0.094,1.00
"r[18]",0.75,0.0040,0.29,0.36,0.71,1.3,5092,0.12,1.00
"r[19]",1.3,0.024,1.4,0.16,0.84,4.0,3702,0.087,1.0
"r[20]",1.7,0.0064,0.44,1.1,1.7,2.5,4768,0.11,1.0
"r[21]",1.6,0.0097,0.70,0.66,1.5,2.9,5154,0.12,1.0
"r[22]",2.8,0.012,0.87,1.6,2.7,4.4,5150,0.12,1.00
"r[23]",5.0,0.014,0.98,3.5,4.9,6.8,5263,0.12,1.00
"r[24]",0.57,0.0042,0.30,0.18,0.52,1.1,4902,0.12,1.0
"r[25]",0.78,0.0064,0.44,0.24,0.69,1.6,4661,0.11,1.0
"r[26]",1.4,0.0095,0.68,0.51,1.3,2.7,5125,0.12,1.00
"r[27]",0.77,0.0045,0.31,0.34,0.72,1.4,4971,0.12,1.0
"r[28]",1.3,0.021,1.4,0.18,0.87,3.8,4131,0.098,1.00
"r[29]",1.3,0.015,1.0,0.26,1.0,3.2,4630,0.11,1.00
"r[30]",0.23,0.0018,0.13,0.076,0.21,0.47,4877,0.12,1.00
"r[31]",1.4,0.0069,0.47,0.74,1.4,2.3,4724,0.11,1.0
"r[32]",0.87,0.0091,0.49,0.27,0.77,1.8,2934,0.069,1.0
"r[33]",0.79,0.0044,0.33,0.35,0.74,1.4,5716,0.13,1.0
"r[34]",2.0,0.011,0.83,0.88,1.9,3.6,5956,0.14,1.00
"r[35]",0.38,0.0026,0.19,0.14,0.35,0.73,5507,0.13,1.0
"r[36]",1.3,0.013,0.85,0.35,1.2,3.0,3977,0.094,1.0
"r[37]",0.60,0.0074,0.48,0.12,0.46,1.6,4260,0.10,1.0
"r[38]",0.32,0.0025,0.18,0.099,0.28,0.67,5311,0.13,1.00
"r[39]",6.2,0.041,2.7,2.7,5.8,11,4369,0.10,1.00
"r[40]",0.77,0.0069,0.51,0.19,0.66,1.8,5557,0.13,1.0
"r[41]",0.94,0.012,0.84,0.16,0.70,2.6,5083,0.12,1.0
"r[42]",1.1,0.016,1.0,0.16,0.73,3.0,4368,0.10,1.00
"r[43]",2.3,0.013,0.88,1.1,2.1,3.9,4656,0.11,1.0
"r[44]",3.9,0.021,1.5,1.8,3.8,6.7,5310,0.13,1.00
