name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-3875.71,0.177477,8.38493,-3890.31,-3875.31,-3862.72,2232.11,0.0240091,1.0005
"accept_stat__",0.936136,0.00240234,0.101797,0.75,0.972536,0.999544,1795.55,0.0193134,1.00418
"stepsize__",0.0581265,0.00250193,0.00306652,0.0537969,0.0600812,0.0605013,1.50225,1.61586e-05,7.06958e+12
"treedepth__",5.66367,0.0213008,0.904811,4,6,6,1804.35,0.0194081,1.00106
"n_leapfrog__",57.5827,0.300012,14.1694,18,63,63,2230.64,0.0239934,1.00048
"divergent__",0.170333,0.00605657,0.375957,0,0,1,3853.2,0.0414461,1.00027
"energy__",3941.66,0.251618,11.6267,3923.44,3941.15,3961.72,2135.16,0.0229664,1.00009
"r[1]",0.28,0.0023,0.18,0.076,0.24,0.61,5990,0.064,1.00
"r[2]",0.63,0.0026,0.22,0.33,0.61,1.0,7098,0.076,1.00
"r[3]",1.3,0.011,0.84,0.30,1.1,2.9,5858,0.063,1.00
"r[4]",0.87,0.0047,0.36,0.39,0.82,1.5,5785,0.062,1.0
"r[5]",1.1,0.0072,0.57,0.34,0.99,2.1,6189,0.067,1.00
"r[6]",2.3,0.0089,0.68,1.3,2.2,3.5,5911,0.064,1.00
"r[7]",0.83,0.0052,0.42,0.29,0.75,1.6,6524,0.070,1.00
"r[8]",1.0,0.0041,0.32,0.57,1.0,1.6,6305,0.068,1.0
"r[9]",0.60,0.0038,0.30,0.21,0.54,1.2,6290,0.068,1.00
"r[10]",1.0,0.0042,0.32,0.56,0.97,1.6,6018,0.065,1.0
"r[11]",0.44,0.0031,0.22,0.15,0.40,0.86,5093,0.055,1.0
"r[12]",0.48,0.0030,0.22,0.19,0.44,0.88,5588,0.060,1.00
"r[13]",2.0,0.012,0.95,0.74,1.8,3.8,6167,0.066,1.0
"r[14]",0.44,0.0020,0.16,0.22,0.42,0.73,6439,0.069,1.00
"r[15]",1.5,0.0066,0.48,0.80,1.4,2.4,5230,0.056,1.0
"r[16]",1.3,0.0049,0.37,0.72,1.2,1.9,5898,0.063,1.00
"r[17]",2.0,0.012,0.88,0.73,1.9,3.6,5563,0.060,1.0
"r[18]",4.1,0.011,0.84,2.8,4.0,5.6,5533,0.060,1.00
"r[19]",3.4,0.073,4.6,0.26,1.7,13,3933,0.042,1.0
"r[20]",0.47,0.0026,0.20,0.20,0.44,0.84,6072,0.065,1.00
"r[21]",0.43,0.0042,0.32,0.097,0.36,1.0,5865,0.063,1.0
"r[22]",4.2,0.014,1.1,2.6,4.1,6.1,6084,0.065,1.0
"r[23]",1.5,0.0075,0.51,0.77,1.4,2.4,4712,0.051,1.0
"r[24]",2.6,0.010,0.75,1.5,2.6,4.0,5445,0.059,1.0
"r[25]",1.1,0.0074,0.59,0.32,0.97,2.2,6411,0.069,1.00
"r[26]",1.3,0.0085,0.67,0.45,1.2,2.6,6155,0.066,1.0
"r[27]",8.8,0.020,1.6,6.4,8.6,12,5778,0.062,1.00
"r[28]",1.5,0.026,1.7,0.19,0.98,4.6,4490,0.048,1.0
"r[29]",0.93,0.011,0.83,0.15,0.69,2.5,5392,0.058,1.0
"r[30]",2.6,0.0079,0.57,1.7,2.5,3.6,5191,0.056,1.0
"r[31]",3.9,0.012,0.90,2.6,3.8,5.5,6046,0.065,1.0
"r[32]",1.1,0.0074,0.56,0.35,0.96,2.2,5773,0.062,1.0
"r[33]",1.3,0.0069,0.46,0.68,1.3,2.2,4511,0.049,1.00
"r[34]",4.7,0.019,1.4,2.6,4.6,7.1,5549,0.060,1.0
"r[35]",1.3,0.0051,0.40,0.69,1.2,2.0,6038,0.065,1.00
"r[36]",1.0,0.0098,0.78,0.20,0.85,2.6,6266,0.067,1.00
"r[37]",0.66,0.0071,0.54,0.13,0.51,1.7,5772,0.062,1.0
"r[38]",0.26,0.0021,0.16,0.068,0.22,0.57,6080,0.065,1.0
"r[39]",1.9,0.018,1.4,0.40,1.5,4.6,5799,0.062,1.00
"r[40]",0.81,0.0073,0.59,0.16,0.67,1.9,6541,0.070,1.0
"r[41]",0.98,0.013,0.93,0.16,0.70,2.7,4858,0.052,1.00
"r[42]",15,0.094,6.9,5.5,13,28,5436,0.058,1.0
"r[43]",5.4,0.019,1.4,3.3,5.2,7.8,5687,0.061,1.0
"r[44]",1.1,0.0088,0.66,0.34,0.98,2.4,5520,0.059,1.00
"r[45]",0.67,0.0052,0.35,0.19,0.63,1.3,4353,0.047,1.0
"r[46]",15,0.039,2.7,11,15,20,4749,0.051,1.00
"r[47]",4.3,0.012,0.92,2.9,4.2,5.9,6114,0.066,1.0
"r[48]",3.0,0.030,2.0,0.44,2.6,6.8,4482,0.048,1.0
"r[49]",2.4,0.026,1.9,0.37,2.0,6.0,5096,0.055,1.0
"r[50]",2.7,0.0075,0.55,1.8,2.6,3.6,5324,0.057,1.00
"r[51]",0.45,0.0021,0.16,0.22,0.43,0.76,6143,0.066,1.00
"r[52]",0.68,0.0055,0.42,0.19,0.60,1.5,5685,0.061,1.00
"r[53]",1.6,0.010,0.75,0.62,1.5,3.0,5532,0.060,1.0
"r[54]",1.7,0.017,1.2,0.32,1.5,4.1,5389,0.058,1.0
"r[55]",1.8,0.0081,0.62,0.92,1.7,2.9,5925,0.064,1.00
"r[56]",1.0,0.0091,0.67,0.26,0.90,2.3,5459,0.059,1.0
"r[57]",0.96,0.0055,0.43,0.38,0.90,1.8,6079,0.065,1.0
"r[58]",2.9,0.016,1.0,1.4,2.8,4.8,4186,0.045,1.0
"r[59]",0.83,0.0069,0.52,0.20,0.70,1.9,5728,0.062,1.00
"r[60]",6.5,0.021,1.6,4.2,6.3,9.3,5681,0.061,1.0
"r[61]",2.7,0.0093,0.70,1.6,2.6,3.9,5712,0.061,1.00
"r[62]",1.5,0.0087,0.64,0.63,1.4,2.7,5292,0.057,1.0
"r[63]",0.51,0.0031,0.24,0.20,0.47,0.96,5656,0.061,1.00
"r[64]",0.98,0.0042,0.34,0.51,0.94,1.6,6544,0.070,1.0
"r[65]",0.69,0.0065,0.45,0.18,0.58,1.6,4857,0.052,1.00
"r[66]",0.72,0.0053,0.39,0.24,0.64,1.5,5534,0.060,1.0
"r[67]",1.9,0.0072,0.57,1.0,1.8,2.9,6321,0.068,1.00
"r[68]",2.3,0.0098,0.73,1.2,2.2,3.6,5526,0.059,1.0
"r[69]",0.40,0.0038,0.28,0.097,0.34,0.93,5405,0.058,1.00
"r[70]",1.1,0.0056,0.40,0.50,1.00,1.8,5067,0.055,1.00
"r[71]",1.7,0.020,1.5,0.29,1.3,4.5,5321,0.057,1.0
"r[72]",0.33,0.0029,0.22,0.087,0.27,0.76,5710,0.061,1.00
"r[73]",0.79,0.0097,0.68,0.14,0.59,2.1,4967,0.053,1.0
"r[74]",2.9,0.0084,0.64,1.9,2.8,4.0,5905,0.064,1.00
"r[75]",1.0,0.0080,0.58,0.30,0.90,2.1,5237,0.056,1.00
"r[76]",0.56,0.0038,0.28,0.21,0.51,1.1,5450,0.059,1.00
"r[77]",0.72,0.0062,0.47,0.19,0.61,1.6,5630,0.061,1.0
"r[78]",2.8,0.012,0.91,1.5,2.7,4.5,5630,0.061,1.0
"r[79]",0.45,0.0044,0.35,0.091,0.36,1.1,6187,0.067,1.00
"r[80]",1.0,0.010,0.72,0.23,0.82,2.4,5153,0.055,1.00
"r[81]",1.2,0.0095,0.75,0.34,1.1,2.7,6331,0.068,1.00
"r[82]",0.82,0.0061,0.45,0.27,0.73,1.7,5493,0.059,1.00
"r[83]",1.2,0.0093,0.70,0.33,1.0,2.5,5666,0.061,1.0
"r[84]",2.1,0.011,0.73,1.1,2.0,3.4,4457,0.048,1.0
"r[85]",1.5,0.014,1.1,0.34,1.3,3.6,5979,0.064,1.00
"r[86]",3.4,0.013,1.0,1.9,3.3,5.2,5991,0.064,1.00
"r[87]",0.31,0.0027,0.20,0.080,0.26,0.71,5555,0.060,1.0
"r[88]",1.2,0.011,0.85,0.24,0.94,2.8,5665,0.061,1.00
"r[89]",0.61,0.0048,0.31,0.21,0.55,1.2,4259,0.046,1.00
"r[90]",3.6,0.012,0.92,2.2,3.5,5.2,6189,0.067,1.00
"r[91]",0.70,0.0074,0.57,0.13,0.55,1.8,5921,0.064,1.00
"r[92]",22,0.15,8.2,13,20,38,2842,0.031,1.0
"r[93]",0.65,0.0067,0.49,0.14,0.52,1.6,5462,0.059,1.0
"r[94]",1.7,0.012,1.0,0.48,1.5,3.6,6646,0.071,1.00
"r[95]",1.1,0.016,1.1,0.16,0.77,3.0,4286,0.046,1.0
"r[96]",3.6,0.021,1.5,1.5,3.3,6.5,5508,0.059,1.00
"r[97]",3.0,0.012,0.88,1.7,2.9,4.6,5406,0.058,1.00
"r[98]",0.73,0.0050,0.40,0.24,0.65,1.5,6411,0.069,1.00
"r[99]",0.54,0.0054,0.40,0.11,0.43,1.3,5500,0.059,1.0
"r[100]",1.2,0.018,1.2,0.18,0.81,3.5,4704,0.051,1.0
"r[101]",1.4,0.0076,0.54,0.64,1.3,2.4,4962,0.053,1.00
"r[102]",0.90,0.0067,0.53,0.24,0.79,1.9,6298,0.068,1.00
"r[103]",1.5,0.015,1.2,0.29,1.2,3.7,5581,0.060,1.0
"r[104]",0.24,0.0018,0.13,0.081,0.22,0.49,5562,0.060,1.0
"r[105]",0.37,0.0033,0.25,0.091,0.31,0.84,5678,0.061,1.0
"r[106]",3.7,0.013,0.95,2.3,3.6,5.4,5138,0.055,1.00
"r[107]",4.4,0.017,1.3,2.5,4.2,6.7,5404,0.058,1.0
"r[108]",0.60,0.0031,0.25,0.27,0.57,1.1,6130,0.066,1.00
"r[109]",1.4,0.012,0.93,0.31,1.2,3.2,5975,0.064,1.00
"r[110]",1.6,0.0055,0.44,0.99,1.6,2.4,6552,0.070,1.00
"r[111]",1.3,0.021,1.4,0.16,0.86,4.0,4086,0.044,1.00
"r[112]",1.5,0.0086,0.65,0.63,1.4,2.7,5682,0.061,1.00
"r[113]",0.65,0.0064,0.51,0.13,0.50,1.6,6327,0.068,1.00
"r[114]",0.66,0.0071,0.54,0.12,0.51,1.7,5785,0.062,1.00
"r[115]",0.77,0.0090,0.66,0.14,0.60,2.0,5438,0.058,1.00
