name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-3949.65,0.21477,8.30179,-3963.55,-3949.49,-3936.56,1494.15,0.04383,1.00182
"accept_stat__",0.881015,0.0049711,0.177518,0.5,0.932419,0.997698,1275.2,0.0374073,1.00085
"stepsize__",0.151265,0.0142432,0.0174574,0.126659,0.16184,0.165295,1.50225,4.40677e-05,2.35907e+13
"treedepth__",3.70183,0.0348415,1.2952,1,4,5,1381.91,0.0405375,1.00215
"n_leapfrog__",20.4105,0.274368,10.4867,2,23,31,1460.87,0.0428537,1.00277
"divergent__",0.670667,0.011592,0.47001,0,1,1,1644,0.0482256,1.00897
"energy__",4015.82,0.27818,11.5022,3997.57,4015.72,4034.84,1709.67,0.0501522,1.00159
"r[1]",3.1,0.016,0.85,1.8,3.0,4.6,2752,0.081,1.00
"r[2]",0.73,0.0057,0.26,0.36,0.71,1.2,2095,0.061,1.0
"r[3]",3.9,0.041,1.9,1.3,3.6,7.4,2260,0.066,1.0
"r[4]",1.2,0.0091,0.49,0.51,1.1,2.1,2922,0.086,1.0
"r[5]",1.6,0.013,0.71,0.67,1.5,3.0,2869,0.084,1.0
"r[6]",1.9,0.013,0.63,0.98,1.8,3.0,2451,0.072,1.0
"r[7]",0.99,0.011,0.51,0.30,0.92,1.9,2161,0.063,1.0
"r[8]",0.44,0.0049,0.22,0.14,0.41,0.86,2047,0.060,1.0
"r[9]",6.1,0.025,1.3,4.1,6.0,8.5,2796,0.082,1.00
"r[10]",2.1,0.011,0.55,1.2,2.0,3.0,2472,0.073,1.0
"r[11]",0.79,0.0065,0.31,0.37,0.74,1.4,2290,0.067,1.00
"r[12]",0.55,0.0058,0.24,0.23,0.51,0.99,1722,0.051,1.0
"r[13]",1.3,0.016,0.77,0.38,1.1,2.8,2317,0.068,1.0
"r[14]",1.4,0.0068,0.33,0.91,1.4,2.0,2282,0.067,1.0
"r[15]",0.86,0.0060,0.32,0.41,0.82,1.4,2781,0.082,1.0
"r[16]",2.7,0.011,0.56,1.8,2.6,3.7,2500,0.073,1.00
"r[17]",0.41,0.0056,0.29,0.097,0.35,0.98,2628,0.077,1.0
"r[18]",2.2,0.011,0.55,1.3,2.1,3.2,2559,0.075,1.00
"r[19]",1.4,0.033,1.5,0.19,0.93,4.2,2196,0.064,1.00
"r[20]",1.1,0.0069,0.32,0.60,1.0,1.6,2135,0.063,1.0
"r[21]",0.71,0.0095,0.47,0.18,0.60,1.6,2390,0.070,1.0
"r[22]",5.2,0.024,1.2,3.4,5.1,7.3,2694,0.079,1.00
"r[23]",3.8,0.016,0.80,2.6,3.7,5.2,2364,0.069,1.0
"r[24]",0.56,0.0055,0.29,0.19,0.51,1.1,2778,0.081,1.0
"r[25]",0.55,0.0069,0.35,0.14,0.47,1.2,2612,0.077,1.0
"r[26]",3.6,0.025,1.2,1.9,3.5,5.9,2426,0.071,1.0
"r[27]",6.3,0.022,1.2,4.6,6.2,8.3,2741,0.080,1.00
"r[28]",2.3,0.049,2.6,0.25,1.5,7.1,2745,0.081,1.0
"r[29]",1.6,0.024,1.3,0.31,1.3,4.1,2729,0.080,1.0
"r[30]",0.25,0.0027,0.13,0.087,0.23,0.51,2436,0.071,1.00
"r[31]",0.73,0.0065,0.28,0.32,0.70,1.3,1863,0.055,1.0
"r[32]",2.8,0.017,0.93,1.5,2.6,4.5,3155,0.093,1.0
"r[33]",6.6,0.024,1.2,4.7,6.5,8.8,2746,0.081,1.0
"r[34]",0.92,0.013,0.66,0.19,0.76,2.2,2488,0.073,1.0
"r[35]",2.5,0.011,0.60,1.6,2.5,3.6,2725,0.080,1.0
"r[36]",7.7,0.051,2.5,4.0,7.5,12,2482,0.073,1.0
"r[37]",0.81,0.016,0.71,0.14,0.60,2.1,2072,0.061,1.0
"r[38]",0.56,0.0058,0.25,0.22,0.53,1.0,1812,0.053,1.0
"r[39]",0.77,0.012,0.65,0.14,0.59,2.0,2705,0.079,1.0
"r[40]",0.73,0.0087,0.48,0.18,0.62,1.7,3037,0.089,1.0
"r[41]",1.8,0.029,1.4,0.33,1.4,4.6,2448,0.072,1.0
"r[42]",2.1,0.034,1.7,0.36,1.6,5.2,2435,0.071,1.0
